epoch,train_loss,val_loss,train_f1,val_f1,train_pr_auc,val_pr_auc,val_roc_auc,threshold,seconds
1,0.019154215685757568,0.030305331033291492,0.27070226152014965,0.3449939686364586,0.2671749267890838,0.26310037635994526,0.9566467441050347,0.2538294792175293,68.57616996765137
2,0.017841198385074405,0.03199055184712853,0.35413517598790756,0.40624999999958356,0.33607916923129333,0.3377379409187021,0.9604334989429525,0.23815591633319855,68.10435175895691
3,0.014785684052420279,0.021224043554445276,0.4317554659308003,0.5371104815859278,0.4232398707696026,0.4593016051650619,0.9733273795495179,0.371065616607666,68.10357975959778
4,0.014038406308959077,0.02136657132969915,0.4632899628252788,0.5271226415089719,0.4297654965068013,0.44036650258722665,0.9758638142746726,0.43536376953125,68.32510805130005
5,0.015541018207317714,0.02921491834915424,0.43252747252747253,0.4587378640772188,0.42587176740305516,0.386415168973824,0.9709592617028657,0.22068454325199127,68.18120098114014
6,0.01342086078041804,0.019650170878001322,0.5024390243902439,0.5805700988942397,0.45686462200810674,0.4834777735327455,0.9799186993988472,0.4306862950325012,68.6020450592041
7,0.013578618273669815,0.017503985002241797,0.523675454312772,0.5882352941171778,0.47176242663292717,0.5066683078703452,0.981652611073719,0.6559531092643738,68.58745574951172
8,0.013036920837916162,0.017923100725463482,0.5339248434237995,0.6097560975605084,0.4823389349886311,0.5487710073374105,0.9824876326249944,0.5036237835884094,68.95054173469543
9,0.013456428168626265,0.0176102039209707,0.533929510783798,0.5920745920741262,0.48232077910493487,0.5188904592611102,0.9812918812205369,0.6491435170173645,68.43932294845581
10,0.012265397474449975,0.0193291994164199,0.5539548790432183,0.5780771586033495,0.503807649591341,0.5065273540314248,0.9792743674272495,0.48885971307754517,68.14138865470886
11,0.012446354152431154,0.018660403824254847,0.5475810738968634,0.5862686567159605,0.5008907066863355,0.5284279846140463,0.9813557502484208,0.6081792116165161,68.27879929542542
12,0.011814931358989127,0.018135108153698995,0.5652173913043478,0.58949880668212,0.512929653636607,0.5353316857217393,0.9800376715104894,0.6210383176803589,68.15012001991272
13,0.011699352497553354,0.018010980116149013,0.5546875,0.5809987819727538,0.5153165092099785,0.5335421019980469,0.9813424373295357,0.6717739105224609,68.23208045959473
14,0.011591513934123788,0.017241010717998988,0.5635923635385857,0.6071220081723309,0.5250779078647348,0.5574418871064413,0.9828775494913898,0.5886420011520386,68.4397542476654
15,0.01135386460241397,0.018477549470338535,0.5609110169491526,0.5950118764841011,0.5269648617370518,0.5318186717590003,0.9804135051008893,0.5620993971824646,68.30867338180542
16,0.011333941846463502,0.017146147556898573,0.5523520485584219,0.6044943820219951,0.5367164553479647,0.5586301194574708,0.9823094587288719,0.6057558059692383,68.19641041755676
17,0.011081064769833135,0.01883227189429914,0.5712740059507709,0.5971394517277898,0.538260334949499,0.5363392035671053,0.9795713384988048,0.5788231492042542,68.03419637680054
18,0.01101645465886987,0.01869611093004358,0.5711229946524065,0.5950118764841011,0.5417680266497019,0.5376520601038226,0.9804326597047096,0.6025047302246094,68.37859296798706
19,0.010979239405881632,0.019063732767213157,0.5701429327686607,0.5936018957341368,0.5430554209155838,0.5346960281365727,0.9797501365163,0.5755547285079956,68.31719374656677
20,0.010968151165649703,0.01910887709083613,0.5766304347826087,0.5914817036588126,0.5434479124540427,0.533263977712553,0.9796478794683685,0.5964475870132446,68.52753281593323
