epoch,train_loss,val_loss,train_f1,val_f1,train_pr_auc,val_pr_auc,val_roc_auc,threshold,seconds
1,0.02404386703413778,0.03751930040783146,0.09838764344163076,0.34416365824262624,0.19665246415487353,0.26443054079145,0.9179202220363262,0.0606948584318161,46.921061754226685
2,0.020638077097903856,0.027842975251935024,0.19092710856639505,0.3790123456785687,0.25518445151446106,0.31747146691296846,0.9581039271967248,0.21230919659137726,47.771209478378296
3,0.019688532262440966,0.025801455956945146,0.2146412528833313,0.3988304093562604,0.2722796990260755,0.33573376530081656,0.9625339283995022,0.26141250133514404,47.692657470703125
4,0.018712479287942927,0.026332636365178057,0.3111390284757119,0.39133126934940293,0.2783368268077724,0.31365645592109376,0.9628775204264676,0.28059643507003784,47.604456663131714
5,0.01881717386166091,0.02421415684925302,0.2664998436033782,0.41740152851217666,0.2936204870357695,0.34639111003989415,0.964900644934226,0.3102077841758728,47.63500452041626
6,0.017518296673034495,0.022794078159739533,0.31441896618732995,0.42438452520469433,0.3012080849050077,0.3512823094645917,0.9720733270087212,0.3569304645061493,47.85467171669006
7,0.017550816220103616,0.026616827941699228,0.3259691538140892,0.4121840570313373,0.3101688014492152,0.3433082206505293,0.9697754679172321,0.2630365490913391,48.318403482437134
8,0.01659693253169007,0.024434244394733202,0.3096797027074854,0.4292803970218912,0.327566663720835,0.35301890904159555,0.9722172024742577,0.26449283957481384,48.10464859008789
9,0.01614980554921134,0.02201367947447917,0.3684329199549042,0.43924626380724974,0.33762548123496683,0.37273879429101303,0.9747075765865487,0.3941914737224579,48.13026976585388
10,0.01581343217820539,0.022060299605392172,0.3759945442145942,0.438408085912391,0.34291443796502796,0.3655442602436201,0.974775235898973,0.40335819125175476,47.62375020980835
11,0.01567735473571291,0.02299338727128515,0.3482709228565582,0.43084455324312665,0.345063727435392,0.359609817489378,0.9734990484609107,0.32114869356155396,47.85911822319031
12,0.015472503860506446,0.02331676372024186,0.404952658412236,0.42342342342300043,0.3576601365854287,0.36113581828391855,0.9739720914606957,0.360168993473053,47.96236562728882
13,0.015248771696905642,0.021517842636448098,0.4327485380116959,0.44007609384864976,0.36828227183845363,0.3697412113592042,0.9752528395404086,0.5019606351852417,48.01005005836487
14,0.015019147948868614,0.022389453200485254,0.4380005523336095,0.40803108808248223,0.3745742874267953,0.352779287958569,0.9755533972598229,0.4773668944835663,47.85254526138306
15,0.01492766180058195,0.02267034606166423,0.4370015948963317,0.40636474908155995,0.3802959279411443,0.35088037516330794,0.9743134758291414,0.41410720348358154,47.58436036109924
16,0.014784624710420198,0.022570734317860296,0.4413347685683531,0.4047619047614681,0.3830907195477796,0.34619817925397317,0.9747534189847135,0.45697709918022156,47.58382177352905
17,0.01474919082856479,0.02152170176066188,0.4381551362683438,0.42439327940217364,0.384754199186174,0.3664562696753487,0.9760166183203421,0.5099520087242126,47.86969614028931
18,0.014682075463036997,0.021450556494800228,0.44035733053074094,0.4328732747799906,0.3865174180399474,0.36912639805217545,0.9764144382944547,0.5035669803619385,47.78796076774597
19,0.014641656979786326,0.02160580525912933,0.44544730554818157,0.4288425047434011,0.3885362439894377,0.36584323862884083,0.9764583495608686,0.4969528615474701,48.14764642715454
20,0.014623667845735197,0.021891261806129058,0.44293903074517976,0.425373134327918,0.3893636072135832,0.3612606351802635,0.9759482068733294,0.46585994958877563,48.027660608291626
