epoch,train_loss,val_loss,train_f1,val_f1,train_pr_auc,val_pr_auc,val_roc_auc,threshold,seconds
1,0.024954311704065202,0.050547693778760505,0.16017742730409068,0.2243502051979737,0.17964589271934495,0.15181115292618705,0.9019803585268413,0.10726039111614227,70.87291622161865
2,0.017123869125180796,0.029892151320115173,0.27819651911744553,0.3936830231241718,0.34892821216447045,0.31492326323750086,0.9544376874624849,0.22473779320716858,70.47235560417175
3,0.015671932260126524,0.02517132197349869,0.394793083349524,0.4667472793224012,0.3941508738094274,0.36796657155722484,0.9664129429543133,0.35113316774368286,70.38639616966248
4,0.015380708995930898,0.026579521043522437,0.37479022934924483,0.44124700239762576,0.3890915327137742,0.3319691226703714,0.9609700615537654,0.3042133152484894,69.51948237419128
5,0.01486134801660856,0.026690378452853783,0.45511953089760937,0.47095179233577444,0.42312843752526463,0.36222386944425916,0.9664420087877564,0.3259686529636383,69.5460958480835
6,0.01390053315216335,0.023097852150546314,0.4666956900304745,0.5165876777246582,0.4542262798890851,0.43027881525338463,0.9694476401939011,0.34562212228775024,69.25171136856079
7,0.014775055570520383,0.018780585273031062,0.4745986364636024,0.54267947993169,0.45616704387859275,0.4556062771629421,0.977500990325727,0.6197817325592041,69.66671943664551
8,0.013400213340188137,0.021182472813175434,0.5123226288274833,0.5243676742746948,0.47170087601346045,0.4386370081602372,0.9721463423758742,0.5409351587295532,69.52682876586914
9,0.013327205456977003,0.02002060292505513,0.4991873693986534,0.5429262394191363,0.47731738552276887,0.4595652508678941,0.9750791620515473,0.4882339835166931,68.83575510978699
10,0.012723340025819641,0.02025347943040978,0.5139124122913138,0.5462085308052269,0.48729618309285094,0.472363382404862,0.9773521824790945,0.4950542449951172,69.13740253448486
11,0.012620577354937018,0.022508680908303432,0.5029404845918607,0.515976331360486,0.4890726194346898,0.43912679892930573,0.9707085530586035,0.4410630464553833,68.91897392272949
12,0.012226020515073557,0.021265567750969685,0.5583536420254536,0.5439698492457957,0.5056716293527885,0.4683324163050427,0.9739363056167653,0.5380743741989136,69.01035213470459
13,0.012356009320854707,0.021046508522731176,0.5404984423676013,0.5446650124065064,0.4955538422115551,0.4659289518069667,0.973026735273125,0.5525923371315002,69.02673053741455
14,0.012005109294288663,0.02328733382527432,0.5626373626373626,0.5267914783727228,0.5140920981854993,0.4502290032482873,0.9699509672027133,0.5600318312644958,68.71353363990784
15,0.01188940168395101,0.021922661088620586,0.5478348439073515,0.554381603479982,0.5191479544514085,0.4719443452858208,0.969659742603417,0.4858264625072479,68.58121299743652
16,0.011720875493554897,0.022921722108969606,0.549428208386277,0.531210191082374,0.5247825748800533,0.45591401707312607,0.9700293085574337,0.5061306953430176,68.79345083236694
17,0.01162130083424434,0.022054534051884695,0.5567167983685954,0.5497808390728254,0.5266215383435756,0.4738699555573874,0.9703997710595249,0.5146174430847168,69.10746049880981
18,0.011499851499983001,0.02266446305099557,0.5631119343741731,0.5341853035139502,0.5302530369337072,0.46039377520682745,0.9695848489498265,0.5657467246055603,68.92414355278015
19,0.011445221048792026,0.020926528385652374,0.5579728692091118,0.5503105590057703,0.5330605387341157,0.4862755455483316,0.9728961025697647,0.5601464509963989,68.71093797683716
20,0.011440545623860343,0.02161974324771226,0.5611212042564235,0.5465916197619138,0.5325882202830674,0.47722399376932617,0.9716398246034893,0.5532335042953491,68.69316911697388
