run,operator,mp,readout,mp_direction,temporal_sampling,seed,best_epoch,threshold,params,invariant_params,train_f1,train_precision,train_recall,train_pr_auc,train_roc_auc,train_precision_at_5pct,train_recall_at_5pct,val_f1,val_precision,val_recall,val_pr_auc,val_roc_auc,val_precision_at_5pct,val_recall_at_5pct,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,test_precision_at_5pct,test_recall_at_5pct
gin_mp-none_readout-base_dir-in,gin,none,base,in,False,42,13,0.5019606351852417,103043,67587,0.43233182664185055,0.555327868852459,0.35393992163691773,0.36836206236590785,0.9817101475601493,0.012861250804238502,0.8528515454941228,0.438685208596713,0.694,0.32070240295748614,0.36953801165173794,0.9751654912487113,0.01754869714218187,0.8234750462107209,0.3707684040838259,0.4805013927576602,0.30183727034120733,0.3282967087493959,0.9721505258355343,0.0183168219329171,0.8136482939632546
gin_mp-base_readout-base_dir-in,gin,base,base,in,False,42,15,0.4858264625072479,108419,67587,0.5479728028204482,0.6499402628434886,0.4736612973443622,0.5190884346469231,0.9886611370972885,0.013642511062382647,0.9046582498911624,0.5534825870646766,0.8460076045627376,0.411275415896488,0.47161477000503205,0.969649092906097,0.016682094814172887,0.7828096118299446,0.455638236977676,0.6589403973509934,0.34820647419072615,0.3919657399130119,0.9611540884031877,0.017351742067634374,0.7707786526684165
gin_mp-none_readout-full_dir-in,gin,none,full,in,False,42,11,0.5610170364379883,110851,67587,0.4525052192066806,0.5648208469055375,0.3774488463212886,0.4099497593332413,0.9843650976508926,0.01319607662915742,0.8750544188071397,0.5477941176470589,0.8127272727272727,0.41312384473197783,0.486839380619562,0.9812195204974806,0.018356212947826602,0.8613678373382625,0.47110621904237754,0.6350148367952523,0.37445319335083116,0.4347610007784472,0.9803395209308619,0.01938037933547358,0.8608923884514436
gin_mp-full_readout-full_dir-in,gin,full,full,in,False,42,10,0.567947268486023,131843,67587,0.5633875548670282,0.692258883248731,0.47496734871571616,0.5455185346322682,0.9908330358834104,0.013997032524061502,0.9281671745755333,0.5976331360946746,0.8305921052631579,0.466728280961183,0.5379373343853332,0.9793359226504242,0.01784412975400311,0.8373382624768947,0.5117613310384395,0.7433333333333333,0.3902012248468941,0.47908885753183733,0.9739706154380228,0.018612254544738346,0.8267716535433071
gin_mp-base_readout-full_dir-in,gin,base,full,in,False,42,8,0.5036237835884094,116227,67587,0.5339248434237995,0.6664495114006515,0.4453635176316935,0.4823365079221863,0.9859659353471809,0.013353641723236912,0.8855028297779712,0.6089482858803021,0.8200312989045383,0.48428835489833644,0.5487591571538668,0.9824837147828013,0.01841529947019085,0.8641404805914972,0.5251875669882101,0.677731673582296,0.42869641294838146,0.483681059296196,0.9801582755014971,0.019518247887656826,0.8670166229221348
gin_mp-base_readout-gfp_dir-in,gin,base,gfp,in,False,42,19,0.6456032991409302,113667,67587,0.5257111597374179,0.7071376011773363,0.41837178929037877,0.49248975359740677,0.9884993721832216,0.013734424033929016,0.9107531562908141,0.532809871003926,0.6776034236804565,0.4390018484288355,0.4637232917376958,0.9705695912960781,0.017076004963267877,0.8012939001848429,0.439484126984127,0.5074455899198167,0.38757655293088367,0.3949418529085752,0.9606554937653611,0.01733204656017962,0.7699037620297463
gin_mp-none_readout-gfp_dir-in,gin,none,gfp,in,False,42,20,0.6853939294815063,108291,67587,0.2727589815137775,0.6859649122807018,0.17022202873313017,0.24651910991162246,0.9651197545413707,0.01175829514568206,0.7797126686983021,0.31908488862131246,0.45768566493955093,0.24491682070240295,0.23932858720910888,0.954755411253025,0.016426053217261143,0.7707948243992606,0.25610859728506785,0.26522961574507964,0.24759405074365703,0.19754399128154776,0.9414062604348555,0.01644574872471589,0.7305336832895888
