epoch,train_loss,val_loss,train_f1,val_f1,train_pr_auc,val_pr_auc,val_roc_auc,threshold,seconds
1,0.018972348127273407,0.02886954508833691,0.29347322943990123,0.41395908543877546,0.33085368316340485,0.3415972775144595,0.9656145974171599,0.16607151925563812,130.60479545593262
2,0.015294021416857905,0.0218638324477971,0.41300602928509905,0.5114045618242745,0.40943039636594797,0.44593394142742,0.9755181831475148,0.41634172201156616,130.61791014671326
3,0.013897085323321318,0.021722796934571062,0.41642228739002934,0.5236151603493884,0.4403481230792719,0.42321254927123964,0.9751806314309729,0.4023542106151581,129.89668583869934
4,0.012992148736183986,0.019682076387458843,0.4647196759752718,0.5657820440424381,0.4584323042724993,0.456027962390796,0.9796964935121034,0.439569354057312,130.43987441062927
5,0.01254366402051888,0.021306897183394548,0.5070214338507022,0.5593220338978531,0.4855657905666746,0.48031767108372614,0.9759446931155576,0.43878045678138733,130.1783595085144
6,0.0125057599313996,0.02180070574559431,0.5232403718459495,0.5374064837900846,0.4911260232111672,0.4731133298886594,0.9780216410304787,0.5546416640281677,130.39053392410278
7,0.011920746200757044,0.02128693045840985,0.5442834138486312,0.5427323767930733,0.5064889271461969,0.47446576382720407,0.9763528265814623,0.5368680357933044,130.15331649780273
8,0.01187794623914297,0.019916212902794016,0.5362173038229376,0.5842696629208874,0.5129599931296138,0.5120239661342851,0.9762290136568964,0.48073673248291016,129.99931073188782
9,0.011429058763464867,0.017924269911535715,0.5513404147698533,0.5920903954797508,0.5289730148645566,0.5261143496455885,0.9809308128840117,0.598315954208374,130.10385465621948
10,0.01109572969778915,0.017918586828228885,0.5633875548670282,0.597986974540688,0.5455414148427604,0.5378942289113244,0.9793295119672448,0.567947268486023,130.42578101158142
11,0.010780844460499968,0.01900764667570399,0.5714285714285714,0.585042219541163,0.5539535991244773,0.5319814377745753,0.97979400678204,0.6135192513465881,130.63340282440186
12,0.010492956820101635,0.02172984989467936,0.5863431151241535,0.5733830845766742,0.557752704410235,0.5009137502443253,0.9740910084492094,0.6339608430862427,129.879536151886
13,0.010226850584893513,0.020432362522470948,0.5741901776384535,0.5849282296646151,0.5700489844117611,0.5194279368259301,0.975775367164909,0.5886262655258179,129.9748523235321
14,0.009955935683705912,0.02116709335805087,0.5970860927152318,0.5845786013145461,0.58450284747957,0.5143077148099412,0.9736098546049583,0.6277577877044678,130.5429151058197
15,0.009625318394140873,0.024668618525216575,0.5962389380530974,0.5565217391299939,0.5907548216780072,0.48308157506296995,0.9682236990037374,0.6542115807533264,130.09061932563782
16,0.009371958239889355,0.02479607227050806,0.599615278922781,0.5632398753889687,0.6016087407564927,0.4940831723920923,0.9697356444180275,0.6603361368179321,130.50443506240845
17,0.009211359277333743,0.024011369532365292,0.605641592920354,0.5680399500619834,0.6105469437421457,0.49475980754354526,0.9696413569900176,0.7318764328956604,130.05943655967712
18,0.009069733631173851,0.02523762841828853,0.6083819039689148,0.5614472863376773,0.6145212878416063,0.490150423333174,0.9682021754720793,0.7290623784065247,130.47398734092712
19,0.009005597835935962,0.02549495373816863,0.6095551894563427,0.5634328358204553,0.6168407603047321,0.4913062735479563,0.9685154702786888,0.7105582356452942,130.28254890441895
20,0.008992050312513461,0.025681751398389976,0.6085281980742778,0.5636250775911169,0.6165331608552241,0.48995244442527885,0.9682223482593069,0.710926353931427,130.54649925231934
