epoch,train_loss,val_loss,train_f1,val_f1,train_pr_auc,val_pr_auc,val_roc_auc,threshold,seconds
1,0.021943751571100442,0.03101876220076234,0.2764193068254306,0.3928571428567151,0.24161487513045546,0.32414237846406974,0.9459183464468219,0.16100236773490906,47.38179016113281
2,0.01802491773741306,0.025898420927141546,0.3474686282994375,0.4425736620560697,0.30769094055958257,0.38718053833245764,0.9677160190900232,0.28372296690940857,47.1317572593689
3,0.016769083365773298,0.022318642185589425,0.35373861470027534,0.45691609977276837,0.33770641105427746,0.4162080833662676,0.9750070650994945,0.37404483556747437,47.18663930892944
4,0.015997247278528238,0.021151837851784525,0.3797108319506992,0.47243180499082693,0.3538136231384027,0.4358098812229027,0.9767685428942628,0.4503975808620453,47.302194595336914
5,0.01569090402537689,0.021241932355820246,0.3890690134321445,0.4958871915389022,0.3652567965766722,0.44941143021049706,0.9781732341895729,0.36755797266960144,47.29315209388733
6,0.015332280696351716,0.02124524433870617,0.3863439930855661,0.49480968858084556,0.37709836772150523,0.444562160053422,0.9788965776491312,0.3587266802787781,47.54922938346863
7,0.014956805288350517,0.019966373028444184,0.42636248415716094,0.5167464114827969,0.38340615256552446,0.45628637175118836,0.9791832630182402,0.4532409906387329,47.36949300765991
8,0.014897401807839166,0.021467617564547372,0.42882161621215914,0.5024096385537629,0.38980227260259476,0.44309192926075747,0.9784912094509142,0.402548611164093,47.44950842857361
9,0.014875123193282,0.020903535063662652,0.4164889836531628,0.4967397747476133,0.3903975027936789,0.43101821985250255,0.977597333254199,0.38747093081474304,47.52379775047302
10,0.014971490830359441,0.022174013804859328,0.39088222878851836,0.4983050847452874,0.39852486833568807,0.44844436125071285,0.9798069210832601,0.2889438271522522,46.99138069152832
11,0.014306861336326084,0.01873847906989664,0.4518653795982259,0.5474586650332333,0.4097503819803231,0.48695772635694806,0.9812741976297911,0.5610170364379883,47.10329079627991
12,0.014147748209398256,0.019478215752535107,0.4629580806749275,0.5325153374228665,0.4183041056930793,0.47290152770894633,0.9806392712128355,0.4798649847507477,47.20843148231506
13,0.014110249879499935,0.020050918431127218,0.4522227899846704,0.519018404907529,0.4162723293122235,0.4607659226295634,0.9805680685310414,0.4527203440666199,47.143993854522705
14,0.013932736604525119,0.0192421605823429,0.46502057613168724,0.5383244206769026,0.42434951775007507,0.48147754792351094,0.9808683588349478,0.4843991696834564,46.57563662528992
15,0.013825818269286031,0.01976975538029116,0.4740578918623703,0.5274999999995621,0.42871500245137584,0.4700350899413137,0.9807649519458888,0.5196588635444641,46.76904845237732
16,0.013754880583989252,0.019644631746389783,0.47564935064935066,0.5290081097936972,0.43272587383257155,0.4734872817142863,0.9806858365895538,0.5004926323890686,47.00670623779297
17,0.013707102329778145,0.019031954630862047,0.47390396659707723,0.537568723273834,0.4340565296059611,0.48333296972914047,0.981277594763423,0.5267509818077087,46.955793380737305
18,0.013647425500477293,0.019674761048972866,0.4732142857142857,0.5313653136526912,0.4359691087088979,0.4753936803033169,0.9809712067481497,0.5002732872962952,46.847137451171875
19,0.01362426040103163,0.019290190662353948,0.4749604638903532,0.5343137254897492,0.43680090166109337,0.47820289870571697,0.9811398648433733,0.5322999358177185,46.628239154815674
20,0.01361770695749438,0.019579173475430083,0.4754836999734959,0.5327564894927583,0.4370491297237527,0.4756554358686831,0.9810244985132381,0.5175846219062805,47.28337502479553
